dataset,size_in_MB,eval_time,AUC_ROC,Precision,Recall,F1
585_YAHOO_id_35_WebService_tr_500_1st_577,0.032533,0.70 s,1.0,0.8129,1.0,0.8968
593_YAHOO_id_43_WebService_tr_500_1st_75,0.032536,0.71 s,1.0,0.8653,1.0,0.9278
607_YAHOO_id_57_WebService_tr_500_1st_426,0.032546,0.71 s,0.9863,0.9245,0.9057,0.915
583_YAHOO_id_33_WebService_tr_500_1st_1616,0.032546,0.70 s,1.0,0.0053,1.0,0.0105
591_YAHOO_id_41_WebService_tr_500_1st_139,0.032555,0.71 s,0.997,0.6735,0.6484,0.6607
577_YAHOO_id_27_WebService_tr_500_1st_498,0.032558,0.71 s,1.0,0.9886,1.0,0.9943
714_YAHOO_id_164_WebService_tr_500_1st_1,0.032561,0.70 s,1.0,0.9831,1.0,0.9915
589_YAHOO_id_39_WebService_tr_500_1st_10,0.032561,0.71 s,1.0,0.9955,1.0,0.9978
716_YAHOO_id_166_WebService_tr_500_1st_540,0.032566,0.72 s,1.0,0.8832,1.0,0.938
699_YAHOO_id_149_WebService_tr_500_1st_99,0.032583,0.70 s,1.0,0.1854,1.0,0.3128
555_YAHOO_id_5_WebService_tr_500_1st_730,0.032587,0.74 s,1.0,0.7752,1.0,0.8734
653_YAHOO_id_103_WebService_tr_500_1st_443,0.032623,0.71 s,1.0,0.8889,1.0,0.9412
752_YAHOO_id_202_WebService_tr_500_1st_95,0.032658,0.71 s,1.0,0.9962,1.0,0.9981
779_YAHOO_id_229_WebService_tr_500_1st_25,0.032727,0.70 s,0.9356,0.6773,0.372,0.4802
762_YAHOO_id_212_WebService_tr_500_1st_1055,0.032736,0.70 s,0.9802,0.0389,0.65,0.0733
791_YAHOO_id_241_WebService_tr_500_1st_593,0.032738,0.71 s,1.0,0.4397,1.0,0.6108
672_YAHOO_id_122_WebService_tr_500_1st_857,0.032858,0.70 s,0.9996,0.0436,1.0,0.0835
586_YAHOO_id_36_WebService_tr_500_1st_398,0.032863,0.70 s,1.0,0.1173,1.0,0.21
711_YAHOO_id_161_WebService_tr_500_1st_137,0.032901,0.71 s,0.9857,0.8639,0.7849,0.8225
763_YAHOO_id_213_WebService_tr_500_1st_43,0.032977,0.70 s,0.9999,0.9796,0.9643,0.9719
740_YAHOO_id_190_WebService_tr_500_1st_0,0.033007,0.71 s,0.9296,0.7247,0.5532,0.6275
574_YAHOO_id_24_WebService_tr_500_1st_202,0.033036,0.70 s,0.9913,0.0174,1.0,0.0341
637_YAHOO_id_87_WebService_tr_500_1st_338,0.033049,0.71 s,1.0,1.0,1.0,1.0
761_YAHOO_id_211_WebService_tr_500_1st_7,0.033056,0.70 s,1.0,0.913,1.0,0.9545
568_YAHOO_id_18_WebService_tr_500_1st_333,0.033078,0.70 s,1.0,0.3938,1.0,0.5651
708_YAHOO_id_158_WebService_tr_500_1st_165,0.033081,0.70 s,1.0,0.6099,1.0,0.7577
760_YAHOO_id_210_WebService_tr_500_1st_23,0.033091,0.70 s,1.0,0.9953,1.0,0.9976
702_YAHOO_id_152_WebService_tr_500_1st_8,0.033094,0.70 s,1.0,1.0,1.0,1.0
712_YAHOO_id_162_WebService_tr_500_1st_88,0.033097,0.72 s,1.0,1.0,1.0,1.0
790_YAHOO_id_240_WebService_tr_500_1st_119,0.033112,0.71 s,1.0,0.9838,1.0,0.9918
692_YAHOO_id_142_WebService_tr_500_1st_294,0.033114,0.70 s,1.0,1.0,1.0,1.0
662_YAHOO_id_112_WebService_tr_500_1st_361,0.033118,0.70 s,1.0,1.0,1.0,1.0
720_YAHOO_id_170_WebService_tr_500_1st_3,0.033119,0.70 s,1.0,0.9953,1.0,0.9977
649_YAHOO_id_99_WebService_tr_500_1st_1386,0.033119,0.71 s,1.0,0.299,1.0,0.4603
685_YAHOO_id_135_WebService_tr_500_1st_121,0.033128,0.71 s,1.0,1.0,1.0,1.0
724_YAHOO_id_174_WebService_tr_500_1st_1030,0.033135,0.70 s,1.0,0.3762,1.0,0.5467
641_YAHOO_id_91_WebService_tr_500_1st_149,0.033136,0.71 s,1.0,0.9951,1.0,0.9975
709_YAHOO_id_159_WebService_tr_500_1st_481,0.033137,0.71 s,0.9695,0.0238,0.2119,0.0427
623_YAHOO_id_73_WebService_tr_500_1st_117,0.033137,0.71 s,0.889,0.6253,0.4238,0.5052
683_YAHOO_id_133_WebService_tr_500_1st_36,0.03314,0.70 s,1.0,1.0,1.0,1.0
608_YAHOO_id_58_WebService_tr_500_1st_72,0.033142,0.72 s,1.0,1.0,1.0,1.0
592_YAHOO_id_42_WebService_tr_500_1st_28,0.033142,0.70 s,1.0,0.3524,1.0,0.5212
619_YAHOO_id_69_WebService_tr_500_1st_8,0.033144,0.71 s,1.0,1.0,1.0,1.0
569_YAHOO_id_19_WebService_tr_500_1st_30,0.033145,0.71 s,1.0,0.9393,1.0,0.9687
707_YAHOO_id_157_WebService_tr_500_1st_137,0.033146,0.71 s,1.0,0.9982,1.0,0.9991
738_YAHOO_id_188_WebService_tr_500_1st_26,0.03315,0.70 s,1.0,0.7586,1.0,0.8627
809_YAHOO_id_259_WebService_tr_500_1st_123,0.033151,0.71 s,0.9398,0.4713,0.7154,0.5682
670_YAHOO_id_120_WebService_tr_500_1st_221,0.033163,0.71 s,1.0,1.0,1.0,1.0
793_YAHOO_id_243_WebService_tr_500_1st_28,0.033181,0.71 s,1.0,0.9655,1.0,0.9825
633_YAHOO_id_83_WebService_tr_500_1st_223,0.033185,0.73 s,1.0,0.9638,1.0,0.9815
631_YAHOO_id_81_WebService_tr_500_1st_96,0.033188,0.70 s,1.0,0.9959,1.0,0.998
595_YAHOO_id_45_WebService_tr_500_1st_248,0.033195,0.72 s,1.0,1.0,1.0,1.0
726_YAHOO_id_176_WebService_tr_500_1st_221,0.033201,0.71 s,1.0,0.951,0.9934,0.9718
691_YAHOO_id_141_WebService_tr_500_1st_57,0.03321,0.71 s,1.0,1.0,1.0,1.0
801_YAHOO_id_251_WebService_tr_500_1st_190,0.033226,0.70 s,1.0,1.0,1.0,1.0
580_YAHOO_id_30_WebService_tr_500_1st_236,0.033239,0.71 s,1.0,0.0494,1.0,0.0941
749_YAHOO_id_199_WebService_tr_500_1st_136,0.033267,0.71 s,1.0,0.899,1.0,0.9468
748_YAHOO_id_198_WebService_tr_500_1st_170,0.033381,0.71 s,1.0,0.0886,1.0,0.1627
788_YAHOO_id_238_WebService_tr_500_1st_973,0.033393,0.70 s,0.9998,0.046,1.0,0.088
717_YAHOO_id_167_WebService_tr_500_1st_84,0.033399,0.71 s,0.9999,0.379,1.0,0.5497
718_YAHOO_id_168_WebService_tr_500_1st_263,0.033411,0.71 s,0.9667,0.6444,0.5672,0.6034
783_YAHOO_id_233_WebService_tr_500_1st_24,0.033417,0.71 s,0.8956,0.2386,0.3644,0.2884
746_YAHOO_id_196_WebService_tr_500_1st_413,0.033448,0.71 s,1.0,0.8789,1.0,0.9356
765_YAHOO_id_215_WebService_tr_500_1st_92,0.033462,0.72 s,0.9906,0.3312,0.8172,0.4714
651_YAHOO_id_101_WebService_tr_500_1st_103,0.033477,0.72 s,0.9999,0.6525,0.9946,0.788
